Title,Watchabilitty,Genre,,,
21,Hard,Drama,,,
300,Hard,Action,,,
10 things I hate about you,Medium,Romantic Comedy,,,
12 Rounds,Hard,Action,,,
2 Fast 2 Furious,Medium,Action,,,
21 Jump Street,Easy,Comedy,,,
22 Jump Street,Easy,Comedy,,,
28 Days Later,Hard,Horror,,,
28 Weeks Later,Hard,Horror,,,
3:10 to Yuma,Hard,Drama,,,
8 Mile,Medium,Drama,,,S
Aladdin,Easy,Animated ,,,
Aladdin - King of Thieves ,Easy,Animated ,,,
Aladdin - Return of Jafer ,Easy,Animated ,,,
Alpha Dog,Hard,Drama,,,
"Amazing Spider-Man, The",Medium,Super Hero,,,
Anastasia,Easy,Animated ,,,
Annapolis,Hard,Drama,,,
Ant-man,Medium,Super Hero,,,
Ant-man and the Wasp,Medium,Super Hero,,,
Antz,Easy,Animated ,,,
Armageddon,Medium,Drama,,,
"Assassination of Jess James by the Coward Robert Ford, The",Hard,Drama,,,
Atlantis ,Easy,Animated ,,,
August Rush,Easy,Drama,,,
Avatar,Hard,Drama,,,
Avengers Age of Ultron,Medium,Super Hero,,,
Avengers Endgame,Medium,Super Hero,,,
Avengers Infinity War,Medium,Super Hero,,,
"Avengers, The",Medium,Super Hero,,,
Bad Teacher,Medium,Comedy,,,
Batman & Robin,Hard,Super Hero,,,
Batman Begins,Hard,Super Hero,,,
Batman vs Superman,Hard,Super Hero,,,
Battleship,Hard,Action,,,
Beauty and the Beast,Easy,Animated ,,,
"Beauty and the Beast, Emma Watson",Medium,Drama,,,
Big,Hard,Comedy,,,
Billy Madison,Medium,Comedy,,,
Blow,Hard,Drama,,,
Book of Life,Easy,Animated ,,,
"Boondock Saints, The",Hard,Drama,,,
Boss Baby,Easy,Animated ,,,
"Bounty Hunter, The",Hard,Comedy,,,
"Bourne Identity, The",Medium,Action,,,
"Bourne Legacy, The",Medium,Action,,,
"Bourne Supremacy, The",Medium,Action,,,
"Bourne Ultimatum, The",Medium,Action,,,
"Bugs Life, A",Easy,Animated ,,,
Burlesque,Medium,Romantic Comedy,,,
Captain America Civil War,Medium,Super Hero,,,
Captain America The First Avenger,Medium,Super Hero,,,
